sentenceCount,wordCount,spellingErrors,grammarErrors,topicCoherenceScore,avgSentLen,uniqWordCount,fleschReadingEase,CLIndex
4,49,4,2,747.4400426399048,20.75,40,46.27,10.58
13,255,9,9,5256.199704238808,44.38461538,150,57.0,5.82
15,140,13,3,2547.395390211996,16.06666667,104,72.05,7.94
27,196,12,9,4054.7733577123427,15.92592593,126,79.6,6.09
30,239,20,7,4653.756458945074,14.1,165,74.39,7.42
11,118,6,8,2022.9831192113436,21.81818182,76,66.57,9.69
22,256,6,4,4994.887414392884,21.40909091,192,40.38,12.36
23,164,15,6,2925.1568112041477,12.73913043,120,67.04,9.56
14,101,7,1,2089.661690307676,14.35714286,70,74.08,7.18
22,249,15,3,4608.759880487609,20.27272727,146,67.99,8.7
6,43,2,0,866.7657433897388,11.5,36,60.01,9.78
23,163,3,5,3607.206284744058,13.26086957,102,75.1,7.76
14,165,12,9,3170.7529499009593,20.5,83,72.9,7.38
17,140,4,3,2684.6435024469697,17.11764706,78,68.81,8.12
6,115,6,1,2472.629173983479,37.0,64,68.57,6.86
24,204,12,10,3970.101198025017,17.83333333,132,79.3,8.18
25,205,12,3,3839.876103222561,14.88,141,63.59,8.99
20,170,7,1,3499.149495082648,14.7,98,73.47,7.88
33,216,11,5,4274.24308425772,12.18181818,155,76.42,7.99
18,122,5,5,2368.20140577085,13.55555556,91,80.51,5.91
28,233,25,3,3895.8559902687907,15.17857143,169,53.61,10.26
21,230,17,5,4224.705089284697,21.19047619,136,73.21,8.01
25,300,21,12,5406.421210109411,21.24,192,46.0,11.73
21,198,25,6,3593.110818442854,18.71428571,135,49.22,8.77
29,188,2,1,3971.6552415249084,10.51724138,99,85.69,6.88
21,211,7,8,4354.854968735564,16.57142857,143,63.09,10.09
19,182,19,8,3278.4557062633457,16.36842105,98,51.28,10.27
47,314,19,4,5698.0079494364145,11.40425532,174,75.5,8.51
33,258,11,2,4841.989408687698,12.84848485,129,72.56,8.0
18,178,8,8,3238.839172725255,21.22222222,101,75.34,7.02
21,241,25,7,4292.564137603905,19.52380952,158,66.57,9.28
16,183,5,4,3940.1428613784046,23.125,106,63.83,7.2
23,167,10,1,3105.671016569415,12.34782609,105,66.33,9.74
9,92,9,9,1704.4519262471204,23.33333333,74,73.41,7.14
11,97,7,3,1929.2680818751082,18.45454545,49,84.81,5.17
31,272,15,2,5236.500097832409,18.0,148,70.63,8.12
28,259,13,7,4833.023522765018,15.0,160,55.13,10.79
39,235,15,4,4109.334749902041,11.0,163,73.37,7.82
19,196,8,7,3825.820086028562,23.42105263,127,73.31,6.16
29,131,5,1,2283.0065711979496,8.0,65,88.74,5.35
9,114,5,4,2232.7847608304137,25.77777778,76,62.61,7.72
15,132,10,4,2470.417025416502,15.53333333,81,72.66,8.0
51,366,30,7,6659.181842157208,13.03921569,215,73.68,6.37
22,312,22,8,6091.732937849495,24.86363636,228,55.17,11.09
25,166,4,1,3636.5492902865817,12.84,105,83.66,6.37
36,266,19,0,4702.421449078974,13.0,169,79.5,6.67
15,140,13,2,2583.711159738072,15.33333333,104,72.87,7.76
21,170,22,3,3087.7607603853444,14.23809524,128,74.19,8.58
34,240,19,8,4368.648844295799,12.17647059,173,75.71,8.34
20,186,28,4,3227.3745894742133,17.5,142,73.41,8.01
17,146,10,4,2575.5490359084083,13.88235294,84,78.59,5.1
40,273,13,3,5640.347453531195,11.8,180,75.3,7.82
26,164,3,5,3325.1708313012623,12.76923077,107,75.5,6.83
18,187,7,3,3613.6570981920895,22.61111111,124,59.98,7.72
21,219,8,6,4562.032890034392,19.71428571,117,69.01,8.7
34,288,6,10,5579.3877820908465,16.02941176,153,77.37,6.73
30,204,9,5,3740.7988173118715,12.3,164,66.84,8.98
52,358,14,4,6906.761360749268,12.28846154,201,67.15,8.86
21,193,16,3,3996.188853823351,17.85714286,128,78.28,7.25
24,174,3,3,3543.912780173303,14.625,93,82.14,5.73
13,138,3,3,2942.165529675853,18.61538462,88,69.92,7.07
36,320,26,8,6078.538651398502,15.44444444,214,64.41,9.21
29,233,20,4,4627.1129207593585,14.24137931,170,72.46,7.89
28,184,18,5,3359.484515653334,11.71428571,123,76.11,7.58
24,215,16,1,4052.370789331315,17.125,140,62.68,8.99
29,272,24,9,5229.469650617893,18.24137931,154,81.87,5.4
4,30,1,2,673.1312016071317,13.25,27,17.68,12.09
25,175,3,1,3676.889835547164,13.04,108,83.86,7.0
28,258,28,5,4438.2534560110325,15.67857143,175,51.48,10.62
37,264,19,4,5163.575304117956,13.54054054,198,83.56,5.61
20,208,12,0,4253.219483821147,19.2,110,76.96,6.38
17,204,35,2,3157.495967511396,21.64705882,132,65.69,6.45
29,284,13,6,5532.614063507925,18.62068966,156,69.11,8.7
29,227,6,6,4357.042471812686,14.27586207,143,65.01,7.65
9,123,9,7,2537.765510555824,30.44444444,74,66.1,6.05
1,86,3,6,1792.4957970091405,176.0,51,-89.24,7.51
10,141,12,1,2657.6529234095538,28.1,100,59.98,8.01
23,202,0,8,4348.229119416114,17.73913043,139,70.63,8.35
30,208,8,4,4110.597072959338,13.6,161,74.69,8.0
26,225,13,4,4324.170479995832,16.34615385,128,80.01,5.91
39,335,10,10,6066.029541889154,15.07692308,190,56.15,9.45
24,240,18,6,4597.011063290048,17.75,162,68.1,9.23
25,264,25,4,4589.5761265536785,17.28,172,46.1,11.73
44,293,19,2,5303.768396615724,11.86363636,176,84.57,6.08
24,225,10,1,4490.5363156679305,17.0,127,71.44,8.0
11,152,11,0,2823.3935994086414,24.0,102,64.34,8.71
41,298,28,5,5771.135181586573,13.63414634,195,82.75,6.2
8,124,7,3,2767.6482190281113,31.125,89,61.63,7.96
24,217,17,5,3951.751851291821,16.95833333,149,69.01,9.69
12,90,2,6,1889.889154777959,15.33333333,61,73.17,6.14
30,222,10,3,4132.592188073582,12.16666667,138,76.22,8.11
33,316,27,5,6005.287666478678,17.60606061,203,67.59,7.95
24,199,7,2,3826.8119575317173,16.08333333,136,53.1,10.55
19,179,18,4,3454.766492928271,16.10526316,110,80.72,6.2
31,233,10,4,4655.561277691411,14.38709677,134,73.98,6.49
24,226,20,7,3814.3993276202705,15.20833333,154,54.83,12.35
3,95,22,3,1649.8110177704966,61.66666667,67,11.43,8.03
39,348,17,9,6595.284933037472,15.41025641,248,72.46,9.22
17,175,13,1,3242.45687607302,18.05882353,103,69.01,7.66
20,219,17,5,4058.002395079359,21.9,105,66.27,7.37
24,177,14,1,3304.7831188861906,12.79166667,111,83.46,6.54
7,120,8,8,2563.5642056844335,35.28571429,88,61.33,7.27
11,99,1,0,2232.8219780606228,15.63636364,48,58.11,10.97
28,240,7,3,4838.463577061932,17.96428571,118,78.48,6.9
33,253,15,2,4730.264339906973,13.03030303,154,66.54,8.34
28,255,16,4,5154.0528238297975,15.71428571,153,70.63,8.35
29,183,8,2,3617.068626682052,11.86206897,119,84.78,5.84
29,257,38,9,4251.243905379369,15.65517241,184,69.41,8.94
26,219,18,4,3795.778942538614,13.65384615,147,66.23,10.32
37,270,17,3,5402.361436015422,12.72972973,171,74.59,8.63
21,139,2,5,2959.6801737548876,13.57142857,90,75.2,7.58
30,225,9,0,4345.937537210231,14.16666667,120,71.44,8.18
29,296,16,6,5667.378125493578,18.72413793,205,61.26,9.4
22,139,22,7,2387.539460473499,10.59090909,106,69.28,9.61
9,146,5,2,2985.9416558888074,27.66666667,91,52.33,11.15
30,234,34,7,3715.049972622214,12.63333333,165,66.44,8.74
33,301,21,8,5516.72999630081,16.57575758,222,69.62,9.23
20,160,17,13,2978.94691361552,17.0,114,78.18,6.15
16,250,24,1,5142.377571199012,28.0,142,51.62,10.39
10,93,7,1,1834.0575432780024,15.1,73,56.25,11.42
21,173,14,3,3465.6588616564927,16.0952381,110,80.62,7.13
5,141,4,14,2996.2616275823184,64.6,70,-12.06,7.16
6,111,7,1,2201.514400961301,43.0,79,53.72,8.08
12,151,11,3,2835.603967235878,21.33333333,92,73.21,8.13
25,208,36,3,3405.4667527049755,13.96,155,82.14,6.6
21,167,16,4,3225.4601925678253,15.80952381,132,70.73,8.7
20,209,13,2,4324.402190765728,19.65,143,62.61,8.88
23,161,10,4,3081.847839733358,14.30434783,116,81.83,4.34
20,175,26,9,2692.4256648779788,13.5,117,65.62,9.97
23,158,7,3,3010.652596852718,12.2173913,104,67.76,9.27
30,229,15,6,4241.666743095233,14.8,138,79.09,6.44
30,276,15,2,5037.700561246437,15.0,170,55.44,10.73
17,157,6,7,3464.9601667123748,17.52941176,81,69.82,7.54
26,212,10,6,4316.55110622955,15.23076923,139,71.04,9.05
16,185,11,13,3664.500235544975,24.25,97,72.29,5.75
28,229,11,8,4741.067802417324,16.67857143,127,80.01,6.49
22,171,5,2,3533.0992205377947,15.27272727,92,71.34,8.06
3,57,5,4,1191.7265326993258,37.33333333,41,48.98,8.08
23,216,8,4,4503.875363231801,18.0,140,78.69,7.13
20,81,5,0,1669.8327045016042,6.4,59,72.42,8.37
23,198,10,10,3718.1908593058693,14.13043478,137,65.22,9.16
16,131,5,4,2558.9543109365154,15.625,82,72.87,8.69
39,287,23,9,5493.912771018157,12.51282051,152,73.88,8.58
29,229,9,1,4530.053197759446,13.86206897,143,74.39,7.65
34,287,17,8,5696.505441909359,15.52941176,204,72.36,8.41
9,71,9,1,1359.0578617488982,13.88888889,61,72.76,7.76
28,202,15,4,4125.488204786278,13.71428571,118,81.93,4.86
25,252,20,2,5197.111239336858,21.16,163,74.83,6.15
23,238,21,4,4361.619894230196,18.47826087,156,56.18,10.16
39,418,36,4,7657.092166978961,19.20512821,233,59.13,8.94
27,207,16,8,3791.7725788487533,13.55555556,108,71.75,8.52
27,225,18,3,4378.402748505608,14.85185185,167,73.58,8.63
28,202,7,4,3716.8022993346694,13.42857143,130,73.68,8.11
27,234,7,5,4902.61901733886,18.85185185,133,78.18,6.33
33,211,13,5,3800.6905760059776,11.42424242,133,77.03,7.46
47,316,38,8,5738.554419127522,12.27659574,243,73.78,8.29
25,212,9,5,4123.709582087627,14.64,155,65.22,9.16
25,156,6,5,3212.6156997414178,11.52,102,77.03,7.75
10,87,1,1,1932.203357869331,15.0,46,54.52,11.19
8,91,4,1,1823.318010021439,20.625,69,73.1,7.09
26,227,4,4,4474.868793863721,14.88461538,149,65.22,9.27
12,82,5,2,1453.2844270151859,15.91666667,60,80.82,5.62
20,137,4,3,2656.3457713081457,13.55,83,91.61,5.04
20,146,6,6,2985.4877843003273,16.15,85,89.28,4.23
14,178,28,4,3089.3910014103635,22.14285714,133,54.15,10.28
28,342,29,4,6619.849550433639,19.82142857,211,47.12,11.73
20,212,11,2,4476.5454777491705,20.35,133,68.1,6.96
39,288,21,1,5504.107829754719,13.69230769,191,73.27,6.89
26,200,11,6,3736.084130350446,13.07692308,147,82.54,5.97
23,229,13,3,4450.918607148013,17.26086957,142,70.53,7.89
37,263,55,6,4081.4915202088605,11.67567568,193,73.27,9.45
19,119,4,3,2398.3458148748123,10.89473684,86,85.28,7.64
27,259,29,4,4472.366021805033,16.33333333,177,59.74,10.44
14,236,15,1,5068.550092021813,30.92857143,141,57.68,7.85
20,208,20,0,3862.50845532723,17.2,119,70.23,8.06
43,288,22,1,5262.7299162823665,12.65116279,190,75.61,6.66
19,147,7,1,3025.530747168204,13.05263158,85,75.1,8.22
27,215,15,3,4139.943793429707,13.66666667,131,73.07,8.29
11,168,25,5,2828.0521485480244,26.54545455,100,58.76,9.59
24,156,16,5,3006.794056943458,11.83333333,107,83.56,5.73
31,249,12,1,4757.873598215523,14.77419355,141,72.56,7.19
23,153,9,1,2804.583950633956,12.17391304,110,75.71,7.93
36,295,26,2,5331.207679707021,14.97222222,223,69.82,9.57
9,128,44,1,1488.8360083571922,21.77777778,112,55.47,11.26
32,220,7,2,4177.487413602496,12.8125,130,74.19,7.36
19,159,11,5,3130.5397478467294,15.68421053,105,70.63,6.73
10,107,19,3,1859.8586992513797,20.2,80,84.91,4.99
17,182,11,5,3485.7017366190635,18.88235294,126,58.52,8.7
13,175,6,1,3790.2543996408563,25.38461538,113,58.76,8.08
21,226,9,4,4776.397434842062,21.38095238,97,66.17,8.82
19,151,16,4,2741.339908826959,13.47368421,115,74.08,8.0
12,138,13,3,2485.4389985444286,20.58333333,101,63.43,9.12
31,226,18,2,4352.700763400745,14.0,142,72.16,7.65
34,303,10,6,6558.001448163502,18.61764706,165,84.61,5.17
15,176,15,7,3714.6788864429714,23.46666667,109,73.21,5.98
7,80,4,1,1573.5513604199928,24.0,56,68.64,7.2
44,362,13,7,7069.579002993032,14.88636364,236,72.36,8.18
28,211,5,6,4198.125323033109,14.82142857,146,73.78,7.42
40,266,10,11,5221.326973586685,12.175,140,84.27,5.44
23,211,22,3,3357.036458000301,14.73913043,115,63.7,9.22
24,179,12,2,3212.077214032528,12.95833333,124,73.47,8.29
27,292,10,3,6089.19626641845,21.0,183,75.95,7.14
26,221,9,5,4277.328023189232,15.96153846,123,69.62,8.01
14,127,12,1,2336.9231526256426,16.78571429,74,72.56,7.42
31,298,27,6,5450.3646109895235,18.93548387,197,76.76,6.33
23,171,7,3,3467.829563789753,14.30434783,126,82.44,6.14
15,148,12,2,3010.809734742594,19.26666667,109,74.73,7.78
20,224,12,7,4389.159942878425,21.6,121,72.7,7.38
26,255,9,3,5118.644979958373,20.34615385,162,67.89,8.94
27,231,7,6,4387.337246486579,16.0,170,70.94,7.83
30,182,10,7,3487.830423734319,10.43333333,110,77.53,6.42
30,252,15,10,4842.790320190493,14.8,130,79.5,7.89
12,124,6,5,2510.6455292986825,24.41666667,86,69.86,6.1
30,301,20,12,5690.524218483048,17.46666667,189,70.02,9.05
18,186,13,4,3254.5685182593543,21.05555556,110,64.95,9.46
36,226,20,8,4152.894103366782,11.41666667,191,84.57,7.18
25,208,27,2,3349.9045291853145,16.0,145,62.48,10.21
23,259,17,10,4506.82638964347,19.82608696,180,50.67,10.68
17,140,7,0,2738.1052369684817,15.94117647,101,71.75,8.87
21,216,23,5,4473.344110438933,19.14285714,147,67.18,7.6
26,216,7,5,4863.625867274087,15.11538462,119,81.63,5.73
20,156,8,5,3060.8775177292896,16.2,102,79.8,6.38
39,303,20,3,5712.078439439779,13.58974359,189,72.16,8.06
11,169,14,3,2941.701292625716,26.81818182,111,58.45,8.83
27,220,23,3,4097.235765364035,14.48148148,143,63.7,8.18
27,236,9,6,4887.03337048638,14.62962963,149,65.22,9.97
17,139,13,2,2837.4508621652394,15.58823529,94,80.11,7.71
23,231,18,4,4549.301394391657,18.26086957,166,69.11,7.95
22,174,5,0,3512.099797211313,13.81818182,113,66.03,9.21
34,252,6,4,5036.536709122726,13.0,158,66.54,8.98
34,247,21,3,4636.8688977573165,11.91176471,157,75.81,7.41
16,128,5,6,2371.3163748216207,14.0625,67,64.91,7.76
20,173,22,3,3091.6447890243935,15.85,120,71.65,9.51
11,114,9,3,2246.9771868624125,20.45454545,81,84.71,5.4
15,158,8,1,3295.5381759537295,20.46666667,98,74.63,6.91
29,306,21,3,5897.837064098129,19.10344828,220,66.88,7.08
4,39,3,1,673.9975413819075,16.25,31,72.66,7.42
32,332,41,5,5745.90019096643,17.625,206,60.65,9.23
26,173,7,0,3064.109217734436,13.38461538,109,75.0,6.95
21,221,13,5,4193.639199734751,19.28571429,150,60.65,8.53
29,288,12,4,5446.452731977433,19.0,208,61.16,9.81
32,252,20,5,4629.859001723709,13.8125,184,65.62,9.45
36,310,22,5,5919.10894624938,14.63888889,216,73.68,8.52
17,119,10,3,2119.637951251522,14.58823529,73,73.07,7.94
26,236,29,7,3858.213151988184,17.96153846,138,76.45,7.08
25,190,11,4,3485.708100032116,13.84,124,72.46,9.45
23,241,15,7,4842.930106082413,22.0,128,69.96,6.85
29,258,13,4,4936.117838808915,16.17241379,164,61.06,9.4
26,197,3,5,4223.275729091006,14.69230769,95,73.68,7.47
21,175,5,5,3207.7790250298362,16.0952381,85,80.11,6.96
38,285,29,2,5116.051579135337,13.23684211,193,73.88,7.82
29,210,23,5,3650.684835888465,12.34482759,146,72.05,8.29
45,339,23,7,5977.557684698448,12.8,207,66.74,9.67
28,251,13,2,4996.072824729868,16.03571429,152,69.72,7.89
26,299,30,12,5158.448305561238,20.38461538,150,54.8,8.6
26,246,23,5,4872.105143371598,18.80769231,148,67.08,6.96
31,238,9,6,4751.792860277206,14.70967742,151,73.17,7.3
26,195,7,3,3880.547021339538,13.19230769,144,75.3,7.82
2,53,8,0,899.4237685645995,64.0,35,-23.6,6.23
17,211,32,13,3774.373207752012,23.41176471,141,54.7,8.66
17,200,27,4,3193.846601299047,21.58823529,133,44.98,11.55
27,177,7,5,3367.115830766447,13.14814815,121,81.93,6.37
20,130,8,2,2387.113018182358,11.7,70,84.98,5.26
21,197,13,8,3925.7992780207983,17.52380952,144,71.04,8.41
22,228,14,3,4591.173393634263,19.09090909,163,60.65,10.21
29,298,14,4,6045.284039200463,18.75862069,187,61.16,9.92
33,302,15,6,5799.049009415522,15.06060606,170,55.95,9.68
21,228,23,6,4095.4113813131903,19.0,122,74.42,8.36
29,213,15,4,3644.9528172406285,12.82758621,152,67.04,9.03
12,188,8,8,4082.862056154049,27.25,134,67.01,7.96
29,311,32,6,5676.380605435406,18.55172414,217,64.95,9.0
16,171,13,3,3471.5108005599322,20.375,109,65.15,8.25
27,226,8,5,4787.637163129265,15.48148148,132,80.72,6.9
20,186,10,3,3877.3022309160388,16.8,120,71.65,8.35
18,194,7,9,4200.391216467588,22.27777778,124,63.43,7.32
41,375,20,4,7032.872192645028,16.02439024,250,63.39,10.67
26,203,3,1,4419.784060051781,15.53846154,101,81.83,4.86
30,192,17,2,3463.414265686378,11.43333333,129,84.88,6.42
18,173,9,1,3230.616482124661,19.72222222,85,77.27,5.75
36,343,29,1,5906.045996893789,17.94444444,196,58.21,9.81
35,242,10,7,4691.7801354620815,13.68571429,181,74.49,7.59
20,161,29,6,2670.3918561142873,14.7,126,77.47,8.12
30,208,29,7,3585.2739279926036,13.03333333,130,73.07,8.0
45,379,41,15,6693.522483384301,15.71111111,217,72.16,6.61
16,179,17,6,3133.8021321471715,21.5625,120,65.15,7.67
36,296,14,12,5848.167031785535,14.83333333,214,72.16,8.81
24,179,16,4,3090.421329762419,11.875,143,59.6,10.48
9,105,6,5,2002.1656606164506,24.0,61,69.65,6.91
24,289,24,6,5384.596257215478,22.125,185,66.17,8.94
29,202,15,12,3719.5942284437992,12.17241379,146,66.84,9.67
15,147,8,0,2690.044754011688,18.8,97,68.3,7.78
27,267,11,3,5448.209334198656,16.88888889,163,71.24,8.81
27,207,14,9,4171.75630625394,13.59259259,130,73.78,8.23
18,245,27,3,4722.7426786062315,24.0,168,66.0,8.02
32,370,21,5,6954.745753479205,21.75,230,65.46,8.88
12,139,6,5,3047.198486705517,21.58333333,90,74.93,5.8
15,160,19,7,3132.398899827375,21.46666667,109,73.61,6.8
15,138,18,5,2688.865044873627,17.8,105,78.89,6.26
27,223,8,3,3980.450562853025,15.25925926,103,72.66,6.73
33,216,23,4,3743.2933192137402,10.78787879,134,77.53,8.22
11,111,7,4,2393.8655569146936,20.63636364,63,67.99,8.94
10,67,2,1,1417.6292523180334,12.8,35,74.08,5.44
20,151,12,1,2630.690096582114,12.75,90,53.1,9.51
13,99,6,1,2083.3923838502214,16.84615385,63,79.8,4.64
22,160,14,3,2965.9473487683535,12.5,135,63.8,8.29
17,141,11,5,2704.2356585278912,15.29411765,103,60.04,9.28
8,99,10,4,1954.063914588366,25.0,71,55.17,9.99
1,4,0,0,107.29069857730849,8.0,4,46.44,7.9
11,95,7,3,1818.7023432277986,16.63636364,74,71.75,7.83
44,308,16,6,5986.384441922467,12.31818182,174,74.69,7.76
28,248,20,5,4277.161179018216,16.96428571,164,59.23,9.05
10,145,8,2,3046.2920350461277,26.3,111,61.8,8.07
32,324,15,3,5820.70949564989,18.59375,196,52.09,11.08
28,249,10,4,5236.9832065264845,15.64285714,174,71.75,9.22
24,187,22,7,3479.761835442935,15.58333333,136,81.53,6.55
17,186,10,7,3651.221866734076,20.47058824,126,67.99,8.76
21,183,8,4,3605.9984724370242,15.0952381,107,71.95,9.74
18,142,12,8,2845.2997591359867,13.66666667,95,72.46,8.87
33,338,21,1,6239.790625898857,18.60606061,233,60.14,9.46
24,172,7,4,3626.9790083755497,13.70833333,109,74.9,6.89
33,269,27,9,4925.400756291175,13.96969697,155,62.17,9.34
19,151,11,9,2710.5345364673403,14.52631579,108,64.61,9.27
9,193,17,14,3804.789811227913,45.55555556,144,42.72,8.08
5,72,6,1,1355.323412818697,31.8,41,73.04,4.08
17,273,24,3,5072.967994843339,26.88235294,148,57.84,8.95
30,262,33,4,4838.10104111703,15.43333333,197,62.17,9.51
31,254,12,2,4927.145829849522,15.25806452,158,73.07,6.55
28,234,11,3,4429.735422068495,16.67857143,147,71.55,6.73
18,158,26,4,2908.9288765255396,17.33333333,119,59.13,9.05
36,267,15,2,5128.542382453943,13.25,160,74.39,7.36
21,156,8,1,2894.8831026171633,11.76190476,98,76.52,7.23
30,272,20,4,4765.642622901296,16.4,163,62.17,8.41
15,130,15,1,2587.0941295359767,16.86666667,89,80.11,7.42
37,367,29,13,6342.8635372579065,16.72972973,230,59.03,10.97
24,220,9,1,4282.113775556249,18.625,130,77.37,5.98
19,181,9,0,3527.214419303863,16.68421053,135,63.09,9.63
18,146,6,5,2963.5900790987257,15.44444444,108,81.43,6.72
20,179,12,3,3479.857044099507,15.55,123,72.26,8.93
22,231,9,1,4467.464686637731,19.59090909,122,77.47,7.31
33,275,18,14,5386.191991475175,16.36363636,177,71.55,7.42
28,222,6,13,4306.7594263951505,13.89285714,113,74.59,7.88
24,171,18,3,3297.152767440892,13.04166667,114,74.29,8.23
13,77,3,3,1413.31222540341,12.61538462,51,92.53,5.26
10,93,11,2,1725.100125084113,17.3,70,77.77,5.69
13,181,16,2,3644.0939534450804,27.84615385,92,67.01,7.73
36,296,16,2,5917.065367398157,15.75,223,71.44,8.06
20,222,16,10,4236.594851006694,20.9,178,66.17,9.46
20,230,6,3,4798.821148198645,21.2,147,66.98,8.07
22,199,9,3,3689.7060583195153,15.86363636,139,59.13,9.28
8,90,13,13,1605.0390821296014,19.75,66,76.76,7.54
21,177,12,3,3606.5608812630644,13.85714286,113,73.68,8.69
32,270,15,6,5081.546807525297,15.15625,130,72.66,7.48
19,203,12,3,4065.617243079657,20.26315789,144,76.76,6.85
37,392,23,8,7987.072432394698,19.27027027,207,60.24,9.46
13,220,25,13,4031.1357280404663,33.38461538,124,55.1,10.05
29,205,5,1,4109.302666071698,13.13793103,106,75.3,6.25
16,168,8,9,3056.9722247137047,19.25,99,60.55,10.27
16,220,17,0,4104.344469777334,21.875,99,44.58,9.93
16,167,7,11,3422.0671411191033,20.5625,120,74.63,6.85
28,285,17,5,5401.197231390311,18.0,195,61.87,10.55
33,278,14,1,4699.569260772805,13.57575758,156,74.69,8.63
24,219,20,6,4128.372164802008,16.83333333,147,68.5,7.78
23,185,10,10,3543.229237983387,15.08695652,103,81.53,6.14
25,167,12,2,3288.1586137417653,13.6,113,83.05,6.43
14,86,1,3,1613.5569977708906,12.28571429,59,84.78,5.79
10,136,14,4,2756.7127630582145,25.8,94,70.87,7.2
34,342,28,7,6034.4691824328565,17.70588235,200,50.57,11.78
20,127,4,2,2464.329000196542,10.95,66,85.79,6.07
18,151,14,3,2527.146759531307,14.44444444,106,72.05,8.52
11,105,2,2,2257.9697974138307,19.36363636,68,77.27,7.14
12,166,8,7,3265.5231132043014,27.91666667,111,68.74,5.93
29,277,17,11,5218.57494941701,17.48275862,146,70.73,7.6
31,276,27,7,4767.7533561137325,15.22580645,174,62.48,9.34
24,223,7,7,4883.141124667436,20.125,129,77.16,7.02
22,262,11,2,5600.940783700131,20.09090909,160,68.1,8.59
37,275,19,5,4996.851852907128,13.86486486,184,65.73,8.92
11,165,10,9,3251.8881309050553,30.0,99,43.09,9.47
31,200,10,6,4113.277784839872,12.80645161,130,75.71,7.12
43,310,20,8,5736.161146657758,13.39534884,181,82.85,5.85
29,273,13,5,5340.883089168777,16.86206897,176,61.77,9.51
26,161,18,2,2914.4498679580033,11.30769231,118,69.28,7.69
35,267,14,8,4748.983217503437,13.62857143,178,73.78,8.0
12,162,15,12,2981.3667958860356,28.91666667,114,76.39,6.16
32,327,28,18,6612.124420584172,19.4375,224,76.56,6.67
24,228,9,6,4319.021087477908,16.625,143,61.87,9.1
25,191,12,6,3565.7195278461745,13.56,115,74.19,8.0
25,162,15,5,3168.3856874792396,12.48,93,67.04,8.28
